"Strategia","Ann_Return","Ann_StdDev","Ann_Sharpe","Sortino","Max_Drawdown"
"Portfel_LS",0.4919,0.5917,0.7813,0.1037,0.5946
"Portfel_LO",0.052,0.2642,0.1179,0.022,0.5285
"WIG20",0.0897,0.2308,0.2949,0.0362,0.4754
